ID,Name,Description,Concepticon_ID
1705,Eight,,1705
1717,Fifty,,1717
493,Five,,493
1500,Four,,1500
1209,I,,1209
1483,Nine,,1483
1493,One,,1493
1634,One Hundred,,1634
1843,One Thousand,,1843
1704,Seven,,1704
1703,Six,,1703
1515,Ten,,1515
492,Three,,492
1710,Twenty,,1710
1498,Two,,1498
1741,above,,1741
98,all,,98
1577,and,,1577
646,ash,,646
1461,at,,1461
1291,back,,1291
1292,"bad, evil",,1292
1251,belly,,1251
1485,below,,1485
1202,big,,1202
937,bird,,937
163,black,,163
946,blood,,946
1394,bone,,1394
1531,branch,,1531
1402,breast,,1402
2099,child,,2099
1489,cloud,,1489
1287,cold,,1287
1725,"correct, true",,1725
1225,day,,1225
1230,dirty,,1230
2009,dog,,2009
1398,dry,,1398
379,"dull, blunt",,379
2,dust,,2
1247,ear,,1247
1228,earth/soil,,1228
744,egg,,744
1248,eye,,1248
1406,far,,1406
323,fat/grease,,323
1217,father,,1217
1201,feather,,1201
221,fire,,221
227,fish,,227
239,flower,,239
249,fog,,249
1507,fruit,,1507
1035,good,,1035
606,grass,,606
1425,green,,1425
1040,hair,,1040
1277,hand,,1277
2642,he/she,,2642
1256,head,,1256
1210,heavy,,1210
1252,house,,1252
1239,how?,,1239
1200,husband,,1200
1459,if,,1459
1460,"in, inside",,1460
1991,intestines,,1991
624,lake,,624
628,leaf,,628
244,left,,244
2098,leg/foot,,2098
1654,lightning,,1654
1224,liver,,1224
1203,long,,1203
1392,louse,,1392
2106,man/male,,2106
2615,meat/flesh,,2615
1313,moon,,1313
1509,mosquito,,1509
1216,mother,,1216
674,mouth,,674
1405,name,,1405
1267,narrow,,1267
1942,near,,1942
1333,neck,,1333
1382,needle,,1382
1231,new,,1231
1233,night,,1233
2279,"no, not",,2279
1221,nose,,1221
1229,old,,1229
197,other,,197
2103,"painful, sick",,2103
683,person/human being,,683
658,rain,,658
1490,rat,,1490
156,red,,156
1019,right,,1019
2457,road/path,,2457
670,root,,670
1218,rope,,1218
1728,rotten,,1728
1274,salt,,1274
671,sand,,671
1474,sea,,1474
1396,sharp,,1396
1645,short,,1645
1482,shoulder,,1482
487,"shy, ashamed",,487
763,skin,,763
1732,sky,,1732
1246,small,,1246
778,smoke,,778
730,snake,,730
843,spider,,843
1430,star,,1430
1295,stick/wood,,1295
857,stone,,857
1220,tail,,1220
78,that,,78
2100,thatch/roof,,2100
817,they,,817
1244,thick,,1244
2308,thin,,2308
1214,this,,1214
1215,thou,,1215
1150,thunder,,1150
1403,to bite,,1403
175,to blow,,175
1407,to breathe,,1407
2102,to burn,,2102
1869,to buy,,1869
321,to chew,,321
1750,to choose,,1750
1102,to climb,,1102
1446,to come,,1446
1100,to cook,,1100
1420,to count,,1420
1839,to cry,,1839
1432,"to cut, hack",,1432
2101,"to die, be dead",,2101
1418,to dig,,1418
1920,to dream,,1920
1401,to drink,,1401
1336,to eat,,1336
1280,to fall,,1280
1419,to fear,,1419
2003,to flow,,2003
1441,to fly,,1441
479,to grow,,479
1408,to hear,,1408
602,to hide,,602
1433,to hit,,1433
1448,to hold,,1448
1435,to hunt,,1435
1417,to kill,,1417
1410,"to know, be knowledgeable",,1410
1355,to laugh,,1355
215,to lie down,,215
1422,"to live, be alive",,1422
1156,"to open, uncover",,1156
1486,to plant,,1486
354,"to pound, beat",,354
1458,to say,,1458
1436,to scratch,,1436
1409,to see,,1409
1457,to sew,,1457
1172,to shoot,,1172
1416,to sit,,1416
1585,to sleep,,1585
1586,"to sniff, smell",,1586
1440,to spit,,1440
1437,to split,,1437
1414,to squeeze,,1414
1434,"to stab, pierce",,1434
1442,to stand,,1442
713,to steal,,713
1421,to suck,,1421
1573,to swell,,1573
1439,to swim,,1439
2271,to think,,2271
1456,to throw,,1456
1094,"to tie up, fasten",,1094
1588,to turn,,1588
1278,to vomit,,1278
1443,to walk,,1443
1086,to work,,1086
1028,to yawn,,1028
1205,tongue,,1205
1380,tooth,,1380
1232,warm,,1232
948,water,,948
1212,we,,1212
1726,wet,,1726
1236,what?,,1236
1238,when?,,1238
1237,where?,,1237
1335,white,,1335
1235,who?,,1235
1243,wide,,1243
1199,wife,,1199
960,wind,,960
1257,wing,,1257
2105,woman/female,,2105
420,woods/forest,,420
1219,worm (earthworm),,1219
1226,year,,1226
1424,yellow,,1424
1213,you,,1213
